Row Labels,H1A-N,H1B-N,H2A-N,H2B-N,H2C-N,H2D-N,H3A-N,H3B-N,H3C-N,H3D-N,H4B-N,H4C-N,H4D-N,HS2A-N,HS2B-N,HS2C-N,HS2D-N,HS3B-N,HS3C-N,HS3D-N,HS4C-N
2024,,1.141887,20.15027,6.934803,12.87308,14.98594,23.761,26.05935,16.93504,13.53725,39.86075,23.97551,18.77396,20.9514,18.16013,12.58823,10.85593,26.39403,24.35113,15.59352,29.0113
2029,,1.480014,21.25543,8.503274,14.99646,16.54573,26.28128,27.86372,18.43419,15.49669,41.44035,25.36018,20.07458,22.35292,19.54325,15.29738,12.9811,27.78251,26.09752,17.38857,30.39038
2034,,3.318189,23.9779,10.05433,18.41073,20.8477,28.15016,30.76371,20.91415,19.33632,44.39445,27.68127,21.78247,26.15421,21.91109,20.14149,15.26103,30.51343,29.24811,20.82994,34.71217
2039,,5.034889,26.35788,11.89207,21.59567,24.72495,29.99277,33.58232,23.34657,22.48484,46.6972,29.63764,23.97152,29.70044,23.51765,23.57355,16.72684,32.61626,32.24825,24.51818,38.35176
2044,4.124161,11.48855,28.78707,15.31618,24.89919,30.21226,32.51389,36.58307,26.11793,25.94218,49.57297,32.07345,26.59975,33.36406,24.75193,25.50717,18.29421,36.13742,35.05352,27.04667,41.64281
2049,10.28214,17.68601,31.55781,18.09547,27.51996,33.72992,34.96254,39.4509,29.17342,28.85273,51.66247,34.21355,28.9922,36.80249,27.06414,27.60064,18.71291,39.25133,37.75086,30.20383,45.15119
2054,16.21783,22.53498,34.62102,22.61364,30.49485,37.48702,38.87804,42.181,31.9992,32.25776,54.61372,36.62999,32.31983,38.99078,28.37042,29.18513,26.9968,40.93244,41.18671,32.46559,47.37208
2059,22.04936,29.70489,36.77952,26.27756,32.93686,40.21902,40.82196,45.53798,34.74861,34.62075,57.48702,39.36831,34.19099,40.51186,29.82569,31.89209,31.53954,44.0125,43.82694,35.13803,49.45757
2064,33.05819,34.99851,38.75097,29.80447,35.01896,42.83383,43.78839,48.67698,37.2468,37.19798,59.78024,42.02728,37.96511,41.63042,31.43562,34.80449,34.29985,46.72223,46.40799,37.15532,50.97179
2069,42.01301,40.16317,41.03745,33.33173,36.56693,46.04138,45.91486,51.75977,39.92883,39.4353,62.5275,44.49688,40.3661,42.2831,38.41956,37.14059,36.92819,49.34071,48.57261,40.27012,52.45707
2074,51.52968,45.67427,43.33366,37.09865,38.50931,49.0812,47.53603,54.57206,42.33458,41.49252,64.07399,46.86132,43.45373,42.61483,41.49713,40.49179,43.33698,51.23424,50.90372,42.143,53.68498
2079,62.33407,50.6008,44.91072,41.46417,41.64022,51.6962,49.88465,57.25695,44.90966,43.32597,66.77419,49.88262,46.51381,42.84547,44.40567,43.52356,46.94618,53.45523,52.85966,44.09146,54.92099
2084,72.62054,54.89856,46.74618,44.68805,43.60865,54.09283,52.1796,59.99275,47.28164,45.57552,69.31606,52.17522,49.37082,43.79233,47.772,46.4558,50.27374,55.19357,54.14745,45.82138,55.75641
