Row Labels,S1A-N,S1A-P,S1B-N,S1B-P,S1C-N,S1C-P,S1D-N,S2A-N,S2A-P,S2B-N,S2B-P,S2C-N,S2C-P,S2D-N,S2D-P,S3B-N,S3B-P,S3C-N,S3C-P,S3D-N,S3D-P,S4B-N,S4C-N,S4C-P,S4D-N,S4D-P,SH1A-N,SH1B-N,SH1C-N,SH1D-N,SH2A-N,SH2B-N,SH2D-N,SH3B-N,SH3C-N,SH3D-N,SH4B-N,SH4C-N,SH4D-N
2024,6.104339,13.72967,7.266695,2.215842,6.198056,2.496346,5.230378,22.17934,20.9254,16.27722,20.02927,11.27616,19.33752,8.870269,7.005539,26.47808,25.02526,25.65578,21.89952,14.27428,18.4064,42.3126,30.00138,29.02254,20.34708,7.349723,,3.568224,2.049793,,20.42164,17.82201,5.119784,32.81364,21.22867,15.34251,30.25466,35.71865,30.53242
2029,7.139797,16.62469,8.249907,2.471204,7.401813,3.762161,6.183081,23.76901,23.69733,19.0187,23.89689,14.02404,22.70719,11.19871,10.36689,28.40822,26.91574,26.93203,25.58915,16.84953,22.12888,42.29992,31.19581,32.36666,21.83783,9.336111,,6.059694,3.314206,,21.93176,17.1306,6.600103,33.5817,22.85666,17.25763,31.23283,36.5239,31.09118
2034,9.198467,21.83535,10.39223,3.519831,9.64641,6.059651,7.364791,27.1939,30.59146,24.14296,29.96853,18.80007,29.82488,16.06882,16.86349,32.41441,34.37946,30.10364,32.59842,21.62553,30.22924,44.00232,33.39214,40.04214,25.7696,12.26466,,9.622466,4.736156,,24.76449,17.48199,8.671127,35.65898,26.77635,21.07981,36.5645,38.43523,34.52544
2039,10.7797,26.19683,12.12793,4.513424,11.93269,9.913351,8.633494,29.78809,36.20247,27.87161,35.61827,22.25984,35.41318,21.15857,22.85686,36.00381,39.99713,32.43952,37.86676,24.42731,36.4532,45.30367,35.21021,45.31155,28.38173,17.22893,,12.25773,7.570951,,27.40591,16.91982,11.67722,37.5909,30.05742,25.21275,41.04423,41.04196,36.33514
2044,13.24434,31.41427,12.98158,9.707297,15.32314,13.90971,9.924135,31.9831,41.03928,31.7526,40.88059,26.17994,40.21507,24.87452,27.2405,40.27514,42.97881,35.44996,41.30275,28.2024,41.61941,46.28819,37.27078,51.67207,32.16002,24.94368,1.217046,16.43171,10.72721,0.02638328,30.28547,16.7308,14.65869,38.58907,33.77519,28.88693,44.01205,42.62351,39.89207
2049,15.433,36.2771,14.526,14.86987,17.71342,19.07769,11.30713,35.47727,43.64,34.88762,45.46285,29.22462,42.45602,29.27446,32.30457,43.9918,46.01239,37.43256,43.91304,30.76594,44.11379,46.83302,39.31392,57.30903,34.28226,30.39559,2.086103,21.26065,14.26631,2.31132,33.0771,16.32193,18.39366,38.84328,36.85922,31.72356,46.41055,44.0871,41.29543
2054,16.80746,39.63475,17.22536,19.35998,21.38927,23.55315,13.07603,37.26381,45.58341,38.50759,48.93939,33.04287,44.32718,33.23457,35.04511,47.50389,48.28125,40.43735,46.45279,34.0778,45.80825,48.10342,41.66047,61.62849,37.51913,35.62413,4.280711,25.45918,23.45758,8.276119,36.40111,18.91408,23.42269,40.37318,39.99868,36.10135,47.77557,45.78349,42.76637
2059,19.80279,41.98554,20.29143,24.24752,25.88058,26.53304,15.19409,39.39033,47.02356,42.12487,52.06588,35.52456,45.28679,36.92498,38.66971,50.76962,50.43091,42.44347,48.04088,36.34748,47.05119,48.99031,43.66517,66.43684,40.30843,39.76708,7.04823,29.56599,28.84326,13.30561,38.76397,20.42619,27.07698,41.40616,42.68352,38.76477,48.81288,47.59898,44.0314
2064,24.76279,43.73112,22.25502,28.75878,28.45379,31.10444,17.40442,42.33542,48.29575,46.14724,54.75735,39.10825,46.14235,40.9129,41.50714,53.8711,52.21753,45.53069,49.32832,38.69952,48.03259,49.44258,45.07756,70.69793,43.33949,41.36118,10.62071,31.15673,32.59316,18.36193,41.23531,22.56539,30.2553,41.8149,44.75855,41.53454,49.84584,49.0269,45.5007
2069,26.99108,45.85347,23.98831,31.8666,30.23311,34.56908,21.00858,44.78046,49.93612,49.70461,57.05819,42.38907,46.76445,43.95586,43.5909,55.93015,53.85231,47.526,50.40218,41.60465,48.90488,49.69685,46.35561,74.28022,45.44237,42.40302,13.8797,32.36671,38.70535,23.4809,44.28985,22.94146,32.50414,42.34205,47.05451,43.62209,50.47038,50.89355,46.46068
2074,29.67732,48.15211,25.05001,33.2123,31.63271,37.10656,24.67784,47.0327,50.96849,52.17001,59.55609,44.93924,47.43121,46.32571,45.45287,57.82627,55.41005,48.92776,51.3478,43.59216,49.5631,49.51829,47.46883,77.2877,47.48213,43.21444,18.43932,32.91831,42.31379,27.91372,46.14197,25.22586,34.05071,43.29389,49.30782,45.93635,51.251,52.28418,47.54744
2079,33.85123,49.59188,26.16446,34.47878,32.83361,37.10121,28.89311,48.50626,51.70298,54.31867,61.61226,46.81676,47.8764,48.39525,47.24442,59.37399,56.59398,49.90202,52.28093,44.64725,50.25128,49.47255,48.53487,79.60253,49.20941,44.37596,20.78392,33.67783,45.46227,32.06462,48.19578,25.70161,36.03021,43.94163,51.08821,47.74916,52.02171,53.33668,48.44936
2084,37.68822,51.72205,26.50017,35.17322,34.25778,36.68282,32.09821,50.3959,52.4024,56.16984,63.53177,48.42321,48.40342,50.01453,49.88659,60.88926,57.99252,50.67209,53.03926,45.42419,51.18718,48.99479,49.49574,82.85885,50.64825,45.56833,24.69703,34.3398,48.76525,35.23476,49.87019,28.25089,37.50652,44.01154,52.88387,49.34071,52.75093,54.50405,50.62875
